tag,profile,cls,p,coverage,coverage_sd,false_rate,false_rate_sd,chain_cov,chain_cov_sd,recloss,recloss_sd,irrec,irrec_sd,error_links,error_links_sd,irrec_links,irrec_links_sd,no_cert_links,no_cert_links_sd,fallback,fallback_sd,candidates,candidates_sd,ed_effort,ed_effort_sd,ed_error,ed_error_sd,ed_abstention,ed_abstention_sd,ed,ed_sd,secs,secs_sd
densweep,mid1,combined,0.1,0.7222291666666667,0.020642669199177385,0.07885617801690924,0.010920429189301485,0.459875,0.023751385001167493,0.47625,0.021832194961618145,0.57025,0.021868326049575126,0.0618125,0.008668980586851298,0.16318749999999999,0.009445785401019082,0.21595833333333334,0.01964743149440876,0.791125,0.027690429184486328,31.926125,1.304947940834987,1.1103862499999997,0.039554207038036734,9.271875,1.3003470880276948,64.7875,5.894229448322629,75.16976125000001,5.926732554324666,0.0038642916828393937,0.0002667081584517225
densweep,mid2,combined,0.1,0.7055520833333333,0.013930283252106473,0.09930220740572882,0.012088858661840358,0.443625,0.018619722848296338,0.46975,0.02064980565729882,0.5733125,0.017477781948579893,0.07782291666666667,0.009831473536213931,0.16504166666666667,0.008085571222140344,0.216625,0.013740793036606504,0.8160625,0.030058263050808158,66.5401875,2.7576671907073824,1.481464375,0.05575081768266863,11.6734375,1.4747210304320897,64.9875,4.122237910981951,78.142401875,3.9107204385077727,0.010691931401379407,0.0005325924970486996
densweep,mid3,combined,0.1,0.6900138888888889,0.01061960217204005,0.09588425431862334,0.010117155368449328,0.42370833333333335,0.016997753119489385,0.46675,0.015159724649939664,0.5867916666666667,0.015828196304241805,0.07323611111111111,0.008341625990868925,0.16646527777777778,0.005206208143420562,0.23675,0.012569608008370056,0.837,0.029210368262572242,102.24754166666666,3.423537747307139,1.8594754166666625,0.0627106633579484,10.985416666666666,1.2512438986303385,71.025,3.7708824025110164,83.86989208333333,3.3011529691775743,0.020352716790512204,0.0006010607101642079
filer30,dense,intent_links,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007036848017014563,0.0002322095911910761
filer30,dense,intent_links,0.01,0.9990486111111111,0.00044214270568418597,0.00015985836499163392,0.00015802356337206932,0.9942916666666667,0.0026528562341051284,0.0,0.0,0.0057083333333333335,0.002652856234105122,0.00015972222222222223,0.00015787612246785163,0.0009513888888888889,0.000442142705684187,0.0007916666666666666,0.0003878955567713595,0.009791666666666667,0.0030573824947654565,1.46875,0.45860737421481845,0.024479166666666666,0.0076434562369136405,0.02395833333333333,0.023681418370177742,0.2375,0.11636866703140784,0.2859375,0.12913991481600184,0.007536341762170195,0.0008604296593838779
filer30,dense,intent_links,0.05,0.9951111111111112,0.0009230462041505559,0.0008019122160726951,0.00031642867713148174,0.9706666666666667,0.005538277224903336,0.0,0.0,0.029333333333333333,0.00553827722490334,0.0007986111111111112,0.00031502794929483177,0.004888888888888889,0.0009230462041505569,0.004090277777777778,0.0008423910765172975,0.050708333333333334,0.0059926551047660296,7.60625,0.8988982657149046,0.12677083333333333,0.014981637761915075,0.11979166666666667,0.047254192394224764,1.2270833333333333,0.2527173229551892,1.4736458333333333,0.27136273747282014,0.008694525086320936,0.0014539010974762342
filer30,dense,intent_links,0.1,0.9899722222222223,0.001236197348986017,0.0015409613848913239,0.0004266691274342172,0.9398333333333333,0.007417184093916026,0.0,0.0,0.06016666666666667,0.007417184093916028,0.0015277777777777779,0.0004227143945848234,0.010027777777777778,0.0012361973489860047,0.0085,0.0010839142242281355,0.10179166666666667,0.009797940319420403,15.26875,1.4696910479130603,0.25447916666666665,0.024494850798551,0.22916666666666666,0.06340715918772351,2.55,0.3251742672684406,3.0336458333333334,0.3641280208277037,0.010625660419464111,0.0017614908777238705
filer30,dense,intent_links,0.2,0.9811597222222223,0.0016637858875264372,0.0028936162706197587,0.0005176727707608979,0.8869583333333333,0.009982715325158669,0.0,0.0,0.11304166666666667,0.009982715325158676,0.0028472222222222223,0.0005088160396285045,0.01884027777777778,0.0016637858875264459,0.015993055555555555,0.0015102496630803493,0.19233333333333333,0.010132888956092004,28.85,1.5199333434138,0.48083333333333333,0.025332222390230003,0.4270833333333333,0.07632240594427567,4.797916666666667,0.4530748989241048,5.7058333333333335,0.4872115468400446,0.01168422510381788,0.000532763967314909
filer30,dense,intent_links,0.4,0.9610208333333333,0.0020248993228568777,0.0066328038637084126,0.0007793046602008142,0.766125,0.01214939593714135,0.0,0.0,0.233875,0.012149395937141358,0.006416666666666667,0.000752135793664788,0.03897916666666667,0.002024899322856893,0.0325625,0.0018061037179591844,0.40108333333333335,0.014895101043219519,60.1625,2.234265156482928,1.0027083333333333,0.03723775260804881,0.9625,0.11282036904971823,9.76875,0.5418311153877553,11.733958333333334,0.5952875598181682,0.016712079104036093,0.0013472965835865075
main,dense,approval_links,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006989364651963115,0.00028805888920881563
