day,attempt_cost,p_error,p_irrec,burden
0,1.0,0.0,0.0,1.0
7,1.0,0.0,0.0,1.0
14,1.0,0.0,0.0,1.0
21,1.0,0.0,0.0,1.0
28,1.0,0.0,0.0,1.0
35,1.0,0.0,0.0,1.0
42,1.0,0.0,0.0,1.0
49,1.0,0.0,0.0,1.0
56,1.0,0.0,0.0,1.0
63,1.0,0.0,0.0,1.0
70,1.0,0.0,0.0,1.0
77,1.0,0.0,0.0,1.0
84,1.0,0.0,0.0,1.0
91,3.0,0.0,0.0,3.0
98,3.0,0.0,0.0,3.0
105,3.0,0.0,0.0,3.0
112,3.0,0.0,0.0,3.0
119,3.0,0.0,0.0,3.0
126,3.0,0.0,0.0,3.0
133,3.0,0.0,0.0,3.0
140,3.0,0.0,0.0,3.0
147,3.0,0.0,0.0,3.0
154,3.0,0.0,0.0,3.0
161,3.0,0.0,0.0,3.0
168,3.0,0.0,0.0,3.0
175,3.0,0.0,0.0,3.0
182,3.0,0.0,0.0,3.0
189,3.0,0.0,0.0,3.0
196,3.0,0.0,0.0,3.0
203,3.0,0.0,0.0,3.0
210,3.0,0.0,0.0,3.0
217,3.0,0.0,0.0,3.0
224,3.0,0.0,0.0,3.0
231,3.0,0.0,0.0,3.0
238,3.0,0.0,0.0,3.0
245,3.0,0.0,0.0,3.0
252,3.0,0.0,0.0,3.0
259,3.0,0.0,0.0,3.0
266,3.0,0.0,0.0,3.0
273,3.0,0.0,0.0,3.0
280,3.0,0.0,0.0,3.0
287,3.0,0.0,0.0,3.0
294,3.0,0.0,0.0,3.0
301,3.0,0.0,0.0,3.0
308,3.0,0.0,0.0,3.0
315,3.0,0.0,0.0,3.0
322,3.0,0.0,0.0,3.0
329,3.0,0.0,0.0,3.0
336,3.0,0.0,0.0,3.0
343,3.0,0.0,0.0,3.0
350,3.0,0.0,0.0,3.0
357,3.0,0.0,0.0,3.0
364,3.0,0.0,0.0,3.0
371,3.0,0.0,0.0,3.0
378,3.0,0.0,0.0,3.0
385,3.0,0.0,0.0,3.0
392,3.0,0.0,0.0,3.0
399,3.0,0.0,0.0,3.0
406,12.578476332014999,0.0,0.3630799306503628,48.88646939705128
413,12.616723412607927,0.0,0.36801453839465936,49.41817725207386
420,12.653922944908125,0.0,0.37291091472694393,49.945014417602515
427,12.690088865106903,0.0,0.377769355849253,50.4670244500322
434,12.725234956330809,0.0,0.382590155668766,50.98425052320741
441,12.759374850176865,0.0,0.3873736058155839,51.49673543173526
448,12.792522028233204,0.0,0.39211999566037203,52.004521594270415
455,12.824689823585262,0.0,0.39682961233186476,52.507651056771735
462,12.855891422307614,0.0,0.4015027407342352,53.00616549573113
469,12.886139864941615,0.0,0.4061396635643304,53.50010622137465
476,12.915448047958982,0.0,0.4107406613287725,53.98951418083623
483,12.94382872521139,0.0,0.41530601236092823,54.47442996130421
490,12.97129450936631,0.0,0.4198359928377462,54.95489379314093
497,12.99785787332913,0.0,0.42433087679646375,55.43094555297551
504,13.02353115165171,0.0,0.42879093615118513,55.902624766770224
511,13.048326541927516,0.0,0.43321644070932996,56.36997061286051
518,13.072256106173423,0.0,0.4376076581879558,56.833021924969
525,13.095331772198355,0.0,0.4419648542299529,57.291817195193644
532,13.117565334958815,0.0,0.4462882924201145,57.74639457697026
539,13.138968457901516,0.0,0.45057823430108135,58.196791888009656
546,13.159552674293135,0.0,0.45483493938916464,58.643046613209606
553,13.179329388537383,0.0,0.45905866519004435,59.08519590754182
560,13.198309877479494,0.0,0.463249667214347,59.523276598914194
567,13.216505291698185,0.0,0.4674081989931028,59.957325191008465
574,13.233926656785313,0.0,0.4715345120930826,60.38737786609357
581,13.250584874613235,0.0,0.47562885613201633,60.81347048781487
588,13.266490724590065,0.0,0.4796914787936931,61.23563860395937
595,13.281654864902894,0.0,0.4837226258429451,61.65391744919741
602,13.296087833749095,0.0,0.4877225411405144,62.06834194780053
609,13.309800050555822,0.0,0.4916914666578054,62.47894671633636
616,13.322801817187829,0.0,0.49562964249152297,62.885766066340125
623,13.335103319143688,0.0,0.4995373068781961,63.2888340069633
630,13.34671462674054,0.0,0.5034146962085905,63.68818424759959
637,13.357645696287465,0.0,0.5072620450420087,64.08385020048833
644,13.367906371247582,0.0,0.5110795861204791,64.4758649832955
651,13.37750638338899,0.0,0.5148675503828366,64.86426142167265
658,13.386455353924665,0.0,0.5186261669786911,65.24907205179377
665,13.39476279464136,0.0,0.522355663282292,65.63032912287056
672,13.402438109017684,0.0,0.5260562649062812,66.0080645996458
679,13.4094905933314,0.0,0.5297281957153424,66.38231016486564
686,13.415929437756088,0.0,0.5333716778397429,66.75309722173039
693,13.42176372744724,0.0,0.5369869316887719,67.12045689632443
700,13.427002443617885,0.0,0.5405741759640734,67.48442004002523
707,13.431654464603866,0.0,0.5441336276728764,67.84501723189152
714,13.435728566918838,0.0,0.547665502141123,68.20227878103114
721,13.439233426299106,0.0,0.5511700130264937,68.55623472894848
728,13.44217761873837,0.0,0.5546473723313332,68.90691485187169
735,13.444569621512505,0.0,0.5580977904154747,69.25434866305997
742,13.446417814194419,0.0,0.5615214760089655,69.59856541509097
749,13.447730479659153,0.0,0.5649186362246945,69.93959410212861
756,13.448515805079223,0.0,0.5682894765709203,70.27746346217126
763,13.448781882910389,0.0,0.5716342009637043,70.61220197928083
770,13.448536711867865,0.0,0.574953011739246,70.94383788579246
777,13.447788197893088,0.0,0.5782461096661227,71.27239916450536
784,13.446544155111159,0.0,0.5815136939574355,71.5979135508547
791,13.444812306778982,0.0,0.5847559622828603,71.92040853506501
798,13.44260028622425,0.0,0.5879731107806055,72.23991136428481
805,13.439915637775325,0.0,0.5911653340692775,72.55644904470307
812,13.436765817682112,0.0,0.5943328252596534,72.87004834364745
819,13.433158195027985,0.0,0.597475775966364,73.18073579166439
826,13.429100052632904,0.0,0.6005943763194845,73.48853768458136
833,13.424598587947754,0.0,0.6036888149760369,73.79348008555144
840,13.419660913939985,0.0,0.6067592791314018,74.09558882708018
847,13.414294059970697,0.0,0.6098059545306436,74.39488951303505
854,13.408504972663149,0.0,0.6128290254797465,74.6914075206378
861,13.402300516762889,0.0,0.6158286748567638,74.98516800243928
868,13.395687475989472,0.0,0.6188050841228814,75.27619588827761
875,13.388672553879925,0.0,0.6217584333333944,75.56451588721937
882,13.381262374623995,0.0,0.6246889011486004,75.85015248948405
889,13.37346348389127,0.0,0.6275966648446065,76.13312996835192
896,13.365282349650252,0.0,0.6304819003240539,76.41347238205564
903,13.35672536297943,0.0,0.633344782126759,76.69120357565534
910,13.347798838870485,0.0,0.6361854834402715,76.96634718289764
917,13.338509017023616,0.0,0.6390041761103522,77.23892662805883
924,13.328862062635178,0.0,0.641801030651368,77.50896512777197
931,13.318864067177557,0.0,0.6445762162566068,77.77648569283824
938,13.30852104917149,0.0,0.6473299008085133,78.04151113002281
945,13.297838954950821,0.0,0.6500622508888447,78.3040640438353
952,13.28682365941978,0.0,0.6527734317887476,78.56416683829454
959,13.27548096680288,0.0,0.6554636075187578,78.82184171867866
966,13.263816611387465,0.0,0.6581329408187211,79.07711069325958
973,13.251836258258997,0.0,0.6607815931676388,79.32999557502288
