tag,profile,cls,p,seed,coverage,false_rate,chain_cov,recloss,irrec,error_links,irrec_links,no_cert_links,fallback,candidates,ed_effort,ed_error,ed_abstention,ed,secs
main,sparse,intent_links,0.01,12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.125,0.00375,0.0,0.0,0.00375,0.0028403750620782375
main,sparse,intent_links,0.01,13,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.125,0.00375,0.0,0.0,0.00375,0.0022125421091914177
main,sparse,intent_links,0.01,14,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.375,0.01125,0.0,0.0,0.01125,0.002468166872859001
main,sparse,intent_links,0.01,15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.015,0.75,0.0225,0.0,0.0,0.0225,0.0022496660239994526
main,sparse,intent_links,0.01,16,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.005,0.25,0.0075,0.0,0.0,0.0075,0.0024320827797055244
main,sparse,intent_links,0.01,17,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.375,0.01125,0.0,0.0,0.01125,0.002512458711862564
main,sparse,intent_links,0.01,18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.5,0.015,0.0,0.0,0.015,0.0021912907250225544
main,sparse,intent_links,0.01,19,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.375,0.01125,0.0,0.0,0.01125,0.0023210830986499786
main,sparse,intent_links,0.05,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.035,1.75,0.0525,0.0,0.0,0.0525,0.002294291742146015
main,sparse,intent_links,0.05,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0475,2.375,0.07125,0.0,0.0,0.07125,0.0025562080554664135
main,sparse,intent_links,0.05,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.035,1.75,0.0525,0.0,0.0,0.0525,0.002221999689936638
main,sparse,intent_links,0.05,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0525,2.625,0.07875,0.0,0.0,0.07875,0.002336542122066021
main,sparse,intent_links,0.05,4,0.9991666666666666,0.0,0.995,0.0,0.005,0.0,0.0008333333333333334,0.0008333333333333334,0.0575,2.875,0.08625,0.0,0.25,0.33625,0.002691499888896942
main,sparse,intent_links,0.05,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.065,3.25,0.0975,0.0,0.0,0.0975,0.0023014158941805363
main,sparse,intent_links,0.05,6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.045,2.25,0.0675,0.0,0.0,0.0675,0.002545709256082773
main,sparse,intent_links,0.05,7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0575,2.875,0.08625,0.0,0.0,0.08625,0.002315166871994734
main,sparse,intent_links,0.05,8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0525,2.625,0.07875,0.0,0.0,0.07875,0.002291207667440176
main,sparse,intent_links,0.05,9,0.9991666666666666,0.0,0.995,0.0,0.005,0.0,0.0008333333333333334,0.0008333333333333334,0.045,2.25,0.0675,0.0,0.25,0.3175,0.002520583104342222
main,sparse,intent_links,0.05,10,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0525,2.625,0.07875,0.0,0.0,0.07875,0.0023689582012593746
main,sparse,intent_links,0.05,11,0.9995833333333334,0.0,0.9975,0.0,0.0025,0.0,0.0004166666666666667,0.0004166666666666667,0.0525,2.625,0.07875,0.0,0.125,0.20375,0.0024162502959370613
main,sparse,intent_links,0.05,12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0425,2.125,0.06375,0.0,0.0,0.06375,0.0022651669569313526
main,sparse,intent_links,0.05,13,0.9991666666666666,0.0,0.995,0.0,0.005,0.0,0.0008333333333333334,0.0008333333333333334,0.0475,2.375,0.07125,0.0,0.25,0.32125,0.0022652503103017807
main,sparse,intent_links,0.05,14,0.9995833333333334,0.0,0.9975,0.0,0.0025,0.0,0.0004166666666666667,0.0004166666666666667,0.055,2.75,0.0825,0.0,0.125,0.2075,0.002582833170890808
main,sparse,intent_links,0.05,15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0525,2.625,0.07875,0.0,0.0,0.07875,0.00230020796880126
main,sparse,intent_links,0.05,16,0.9995833333333334,0.0,0.9975,0.0,0.0025,0.0,0.0004166666666666667,0.0004166666666666667,0.0575,2.875,0.08625,0.0,0.125,0.21125,0.002283917274326086
main,sparse,intent_links,0.05,17,0.9995833333333334,0.0,0.9975,0.0,0.0025,0.0,0.0004166666666666667,0.0004166666666666667,0.0575,2.875,0.08625,0.0,0.125,0.21125,0.002312708180397749
main,sparse,intent_links,0.05,18,0.9995833333333334,0.0,0.9975,0.0,0.0025,0.0,0.0004166666666666667,0.0004166666666666667,0.05,2.5,0.075,0.0,0.125,0.2,0.0024847500026226044
main,sparse,intent_links,0.05,19,0.9991666666666666,0.0,0.995,0.0,0.005,0.0,0.0008333333333333334,0.0008333333333333334,0.0525,2.625,0.07875,0.0,0.25,0.32875,0.0025277906097471714
main,sparse,intent_links,0.1,0,0.9991666666666666,0.0,0.995,0.0,0.005,0.0,0.0008333333333333334,0.0008333333333333334,0.0925,4.625,0.13875,0.0,0.25,0.38875,0.002660083584487438
main,sparse,intent_links,0.1,1,0.9995833333333334,0.0,0.9975,0.0,0.0025,0.0,0.0004166666666666667,0.0004166666666666667,0.0825,4.125,0.12375,0.0,0.125,0.24875,0.0024177921004593372
main,sparse,intent_links,0.1,2,0.9991666666666666,0.0,0.995,0.0,0.005,0.0,0.0008333333333333334,0.0008333333333333334,0.0825,4.125,0.12375,0.0,0.25,0.37375,0.002375749871134758
main,sparse,intent_links,0.1,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.095,4.75,0.1425,0.0,0.0,0.1425,0.0024013747461140156
main,sparse,intent_links,0.1,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,5.0,0.15,0.0,0.0,0.15,0.0026835831813514233
main,sparse,intent_links,0.1,5,0.99875,0.0,0.9925,0.0,0.0075,0.0,0.00125,0.00125,0.12,6.0,0.18,0.0,0.375,0.555,0.0028152908198535442
main,sparse,intent_links,0.1,6,0.9995833333333334,0.0,0.9975,0.0,0.0025,0.0,0.0004166666666666667,0.0004166666666666667,0.0875,4.375,0.13125,0.0,0.125,0.25625,0.0023832498118281364
main,sparse,intent_links,0.1,7,0.9991666666666666,0.0,0.995,0.0,0.005,0.0,0.0008333333333333334,0.0008333333333333334,0.085,4.25,0.1275,0.0,0.25,0.3775,0.0025643748231232166
