profile,p,seed,total_links,ids_usable,time_usable,union_usable,premise_links,only_union_loss,premise_rate,only_union_loss_rate,conditional_loss
sparse,0.1,1,2400,2380,2400,2376,2380,5,0.9916666666666667,0.0020833333333333333,0.0021008403361344537
sparse,0.1,2,2400,2374,2400,2373,2374,4,0.9891666666666666,0.0016666666666666668,0.0016849199663016006
sparse,0.1,3,2400,2382,2400,2376,2382,6,0.9925,0.0025,0.0025188916876574307
sparse,0.1,4,2400,2374,2400,2368,2374,8,0.9891666666666666,0.0033333333333333335,0.003369839932603201
sparse,0.1,5,2400,2369,2400,2367,2369,3,0.9870833333333333,0.00125,0.001266357112705783
sparse,0.1,6,2400,2372,2400,2367,2372,7,0.9883333333333333,0.002916666666666667,0.002951096121416526
sparse,0.1,7,2400,2375,2400,2374,2375,2,0.9895833333333334,0.0008333333333333334,0.0008421052631578948
sparse,0.1,8,2400,2376,2400,2373,2376,4,0.99,0.0016666666666666668,0.0016835016835016834
sparse,0.1,9,2400,2370,2400,2359,2370,11,0.9875,0.004583333333333333,0.004641350210970464
sparse,0.1,10,2400,2369,2400,2367,2369,6,0.9870833333333333,0.0025,0.002532714225411566
sparse,0.1,11,2400,2379,2400,2379,2379,2,0.99125,0.0008333333333333334,0.0008406893652795292
sparse,0.1,12,2400,2387,2400,2385,2387,3,0.9945833333333334,0.00125,0.0012568077084206116
sparse,0.1,13,2400,2385,2400,2383,2385,3,0.99375,0.00125,0.0012578616352201257
sparse,0.1,14,2400,2374,2400,2366,2374,9,0.9891666666666666,0.00375,0.0037910699241786015
sparse,0.1,15,2400,2375,2400,2368,2375,7,0.9895833333333334,0.002916666666666667,0.0029473684210526317
sparse,0.1,16,2400,2375,2400,2370,2375,5,0.9895833333333334,0.0020833333333333333,0.002105263157894737
sparse,0.1,17,2400,2375,2400,2369,2375,7,0.9895833333333334,0.002916666666666667,0.0029473684210526317
sparse,0.1,18,2400,2364,2400,2359,2364,6,0.985,0.0025,0.0025380710659898475
sparse,0.1,19,2400,2385,2400,2375,2385,11,0.99375,0.004583333333333333,0.004612159329140462
sparse,0.2,0,2400,2346,2400,2314,2346,33,0.9775,0.01375,0.014066496163682864
sparse,0.2,1,2400,2336,2400,2314,2336,29,0.9733333333333334,0.012083333333333333,0.012414383561643835
sparse,0.2,2,2400,2336,2400,2311,2336,31,0.9733333333333334,0.012916666666666667,0.013270547945205479
sparse,0.2,3,2400,2335,2400,2298,2335,43,0.9729166666666667,0.017916666666666668,0.01841541755888651
sparse,0.2,4,2400,2340,2400,2322,2340,28,0.975,0.011666666666666667,0.011965811965811967
