profile,p,lambda,pi,cls,effort,error,abstention,ed,rank
dense,0.4,50.0,10.0,intent_links,1.0027083333333333,0.0,1.6812500000000004,2.683958333333334,6
dense,0.4,50.0,10.0,approval_links,1.0027083333333333,0.0,3.855833333333333,4.8585416666666665,5
dense,0.4,50.0,10.0,correlation_ids,2.4303125,0.0,26.746249999999996,29.176562499999996,4
dense,0.4,50.0,10.0,source_artifacts,3.960467499999999,38.32916666666667,34.70041666666666,76.99005083333333,1
dense,0.4,50.0,10.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,50.0,10.0,ids_plus_timestamps,1.7018541666666667,8.066666666666666,25.284166666666668,35.052687500000005,3
dense,0.4,50.0,10.0,combined,3.2523470833333343,23.34583333333333,43.01875000000001,69.61693041666668,2
dense,0.4,100.0,10.0,intent_links,1.0027083333333333,0.0,1.6812500000000004,2.683958333333334,6
dense,0.4,100.0,10.0,approval_links,1.0027083333333333,0.0,3.855833333333333,4.8585416666666665,5
dense,0.4,100.0,10.0,correlation_ids,2.4303125,0.0,26.746249999999996,29.176562499999996,4
dense,0.4,100.0,10.0,source_artifacts,3.960467499999999,76.65833333333335,34.70041666666666,115.31921750000001,1
dense,0.4,100.0,10.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,100.0,10.0,ids_plus_timestamps,1.7018541666666667,16.133333333333333,25.284166666666668,43.11935416666667,3
dense,0.4,100.0,10.0,combined,3.2523470833333343,46.69166666666666,43.01875000000001,92.96276375000001,2
dense,0.4,0.0,25.0,intent_links,1.0027083333333333,0.0,4.203125000000001,5.205833333333334,6
dense,0.4,0.0,25.0,approval_links,1.0027083333333333,0.0,9.639583333333333,10.642291666666665,5
dense,0.4,0.0,25.0,correlation_ids,2.4303125,0.0,66.865625,69.2959375,3
dense,0.4,0.0,25.0,source_artifacts,3.960467499999999,0.0,86.75104166666667,90.71150916666666,2
dense,0.4,0.0,25.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,0.0,25.0,ids_plus_timestamps,1.7018541666666667,0.0,63.21041666666667,64.91227083333334,4
dense,0.4,0.0,25.0,combined,3.2523470833333343,0.0,107.54687500000001,110.79922208333335,1
dense,0.4,10.0,25.0,intent_links,1.0027083333333333,0.0,4.203125000000001,5.205833333333334,6
dense,0.4,10.0,25.0,approval_links,1.0027083333333333,0.0,9.639583333333333,10.642291666666665,5
dense,0.4,10.0,25.0,correlation_ids,2.4303125,0.0,66.865625,69.2959375,3
dense,0.4,10.0,25.0,source_artifacts,3.960467499999999,7.6658333333333335,86.75104166666667,98.3773425,2
dense,0.4,10.0,25.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,10.0,25.0,ids_plus_timestamps,1.7018541666666667,1.6133333333333333,63.21041666666667,66.52560416666667,4
dense,0.4,10.0,25.0,combined,3.2523470833333343,4.6691666666666665,107.54687500000001,115.46838875000002,1
dense,0.4,25.0,25.0,intent_links,1.0027083333333333,0.0,4.203125000000001,5.205833333333334,6
