p,cov,covsd,false,falsesd,recloss,reclosssd,irrec,irrecsd,fallback,candidates,ed,ed_effort,ed_error,ed_abstention
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9948541666666667,0.0014556156799778092,0.0,0.0,0.0,0.0,0.010166666666666668,0.0029319773580418684,0.010666666666666666,1.6,1.5704166666666668,0.026666666666666665,0.0,1.54375
5.0,0.96925,0.0029526119756721134,0.0,0.0,0.0,0.0,0.058583333333333334,0.005194323262182166,0.061625,9.24375,9.3790625,0.1540625,0.0,9.225
10.0,0.9291319444444445,0.004899053055586915,0.0,0.0,0.0,0.0,0.12816666666666668,0.007815489194223816,0.13866666666666666,20.8,21.607083333333335,0.3466666666666667,0.0,21.260416666666668
20.0,0.8243194444444445,0.009901018827078618,0.0,0.0,0.0,0.0,0.29483333333333334,0.016306637689865372,0.34391666666666665,51.5875,53.56395833333333,0.8597916666666666,0.0,52.704166666666666
40.0,0.5542291666666667,0.012971803889594444,0.0,0.0,0.0,0.0,0.65325,0.012764454024740244,0.972125,145.81875,136.1615625,2.4303125,0.0,133.73125
