p,cov,covsd,false,falsesd,recloss,reclosssd,irrec,irrecsd,fallback,candidates,ed,ed_effort,ed_error,ed_abstention
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9974791666666667,0.0016079287737709327,0.0,0.0,0.0,0.0,0.004875,0.0029774370822819025,0.010875000000000001,0.54375,0.7725625,0.0163125,0.0,0.75625
5.0,0.9871041666666667,0.004601191286754977,0.0,0.0,0.0,0.0,0.0245,0.007971990440219267,0.063875,3.19375,3.9645625,0.0958125,0.0,3.86875
10.0,0.9695416666666666,0.006453414935325748,0.0,0.0,0.0,0.0,0.0555,0.011459310165698641,0.145,7.25,9.355,0.2175,0.0,9.1375
20.0,0.9241666666666667,0.01101733084496279,0.0,0.0,0.0,0.0,0.12775,0.017204268136287088,0.342125,17.10625,23.2631875,0.5131875,0.0,22.75
40.0,0.7999375,0.016159653818993387,0.0,0.0,0.0,0.0,0.297125,0.022083498840823015,0.970875,48.54375,61.4750625,1.4563125,0.0,60.01875
