p,cov,covsd,false,falsesd,recloss,reclosssd,irrec,irrecsd,fallback,candidates,ed,ed_effort,ed_error,ed_abstention
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9984166666666667,0.0004923884581935033,0.0,0.0,0.0,0.0,0.009791666666666667,0.0030573824947654565,0.009791666666666667,1.46875,0.49947916666666664,0.024479166666666666,0.0,0.475
5.0,0.9918611111111111,0.0010724259722176377,0.0,0.0,0.0,0.0,0.050708333333333334,0.0059926551047660296,0.050708333333333334,7.60625,2.5684375,0.12677083333333333,0.0,2.441666666666667
10.0,0.9836388888888888,0.001585243026034808,0.0,0.0,0.0,0.0,0.10179166666666667,0.009797940319420403,0.10179166666666667,15.26875,5.1628125,0.25447916666666665,0.0,4.908333333333333
20.0,0.9692847222222223,0.0017523509457032487,0.0,0.0,0.0,0.0,0.19233333333333333,0.010132888956092004,0.19233333333333333,28.85,9.695416666666667,0.48083333333333333,0.0,9.214583333333334
40.0,0.9357361111111111,0.0025065298089013382,0.0,0.0,0.0,0.0,0.40108333333333335,0.014895101043219519,0.40108333333333335,60.1625,20.281875,1.0027083333333333,0.0,19.279166666666665
