p,cov,covsd,false,falsesd,recloss,reclosssd,irrec,irrecsd,fallback,candidates,ed,ed_effort,ed_error,ed_abstention
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9974166666666667,0.0016312016164319865,0.0,0.0,0.0,0.0,0.005,0.0030348848933344197,0.010875000000000001,0.54375,0.7913125,0.0163125,0.0,0.775
5.0,0.9858958333333333,0.00488963540120581,0.00048661618487936186,0.0006183900815885352,0.0,0.0,0.02625,0.00813132345025283,0.06375,3.1,4.254125,0.09475,0.071875,4.0875
10.0,0.9634583333333333,0.007384713347725147,0.0018781986218744252,0.0016580901761046201,0.0,0.0,0.066375,0.014036489102186111,0.14400000000000002,6.55,10.900125,0.2095,0.271875,10.41875
20.0,0.8904583333333334,0.010108060155982411,0.009357251807808907,0.004032282787025538,0.0,0.0,0.183625,0.014106619386880608,0.333375,13.41875,32.0675625,0.4675625,1.2625,30.3375
40.0,0.639375,0.01939485635977679,0.04066021187722337,0.010281772492125562,0.0,0.0,0.5377500000000001,0.019833185905393395,0.820625,26.25,105.21125,1.083125,4.059375,100.06875
