p,cov,covsd,false,falsesd,recloss,reclosssd,irrec,irrecsd,fallback,candidates,ed,ed_effort,ed_error,ed_abstention
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.994875,0.0014418977775070329,0.0,0.0,0.0,0.0,0.010125,0.0029028494772756126,0.010666666666666666,1.56875,1.5638541666666668,0.026354166666666668,0.0,1.5375
5.0,0.9692430555555556,0.002804142064749612,0.0001644326531085065,0.00023324518647182258,0.0,0.0,0.058458333333333334,0.005009311505026012,0.061625,8.7875,9.352625,0.1495,0.02395833333333333,9.179166666666667
10.0,0.928951388888889,0.004637718931849812,0.0009039959797958753,0.0006085042353067169,0.0,0.0,0.12737500000000002,0.007190367785370155,0.1385,18.66875,21.513729166666668,0.3251875,0.12604166666666666,21.0625
20.0,0.8230208333333333,0.009781655742642769,0.006985324878253752,0.002473992573924211,0.0,0.0,0.29320833333333335,0.01638640455945003,0.33695833333333336,40.6375,52.968333333333334,0.7433333333333333,0.86875,51.35625
40.0,0.5517083333333334,0.012814758652087099,0.04652975292401472,0.005818521054925823,0.0,0.0,0.6512083333333334,0.012215998880769876,0.8624166666666666,83.94375,132.15602083333334,1.7018541666666667,4.033333333333333,126.42083333333333
