p,cov,covsd,false,falsesd,recloss,reclosssd,irrec,irrecsd,fallback,candidates,ed,ed_effort,ed_error,ed_abstention
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9715625,0.005287555385909853,0.009639483557708169,0.003537024606103474,0.0585,0.0106189998537874,0.0585,0.0106189998537874,0.05925,2.87875,7.200537499999999,0.08803749999999998,1.41875,5.69375
5.0,0.8636666666666667,0.016009294632178,0.04689689596270055,0.008053571822563969,0.275875,0.024214977422639634,0.275875,0.024214977422639634,0.29525,13.713750000000001,34.9636375,0.4323874999999998,6.36875,28.1625
10.0,0.7520208333333334,0.009554471221456357,0.0836808737414109,0.010860584771971467,0.474,0.02073326846043892,0.474,0.02073326846043892,0.5435,23.962625,64.85812625,0.7831262499999997,10.31875,53.75625
20.0,0.5806875,0.014796546020028008,0.14886940175952199,0.021204001801967905,0.727875,0.02135654404823521,0.727875,0.02135654404823521,0.937125,36.9555,111.841055,1.3066799999999998,15.259375,95.275
40.0,0.3297291666666667,0.01171377940393179,0.23046408257022566,0.017459059325377117,0.954,0.009780485403948127,0.954,0.009780485403948127,1.41425,41.60025,188.08337749999998,1.8302524999999965,14.828125,171.425
