p,cov,covsd,false,falsesd,recloss,reclosssd,irrec,irrecsd,fallback,candidates,ed,ed_effort,ed_writeoff
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9998125,0.00015130872656340567,0.0001875,0.0001513087265634174,0.0,0.0,0.004375,0.001831238835464839,0.009791666666666667,1.46875,0.24322916666666666,0.024479166666666666,0.21875
5.0,0.9988055555555555,0.00044012890190533966,0.0011944444444444444,0.0004401289019053369,0.0,0.0,0.021625,0.0052039894165873575,0.050708333333333334,7.60625,1.2080208333333333,0.12677083333333333,1.08125
10.0,0.9980277777777777,0.0004886628930069897,0.0019722222222222224,0.0004886628930069781,0.0,0.0,0.04058333333333333,0.004541073114280343,0.10179166666666667,15.26875,2.2836458333333334,0.25447916666666665,2.029166666666667
20.0,0.9957708333333334,0.0007244609364714121,0.004229166666666667,0.0007244609364714115,0.0,0.0,0.08133333333333334,0.00896468053396346,0.19233333333333333,28.85,4.5475,0.48083333333333333,4.066666666666666
40.0,0.9912638888888889,0.00104022805141967,0.008736111111111111,0.0010402280514196702,0.0,0.0,0.168125,0.011390448830551127,0.40108333333333335,60.1625,9.408958333333333,1.0027083333333333,8.40625
