p,cov,covsd,false,falsesd,recloss,reclosssd,irrec,irrecsd,fallback,candidates,ed,ed_effort,ed_error,ed_abstention
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9999583333333333,0.00012824729401063014,0.0,0.0,0.0,0.0,0.00025,0.0007694837640638656,0.01,0.5,0.0275,0.015,0.0,0.0125
5.0,0.9997291666666667,0.00033863654203635527,0.0,0.0,0.0,0.0,0.0016250000000000001,0.0020318192522181225,0.050625,2.53125,0.1571875,0.0759375,0.0,0.08125
10.0,0.999375,0.00043804790253154077,0.0,0.0,0.0,0.0,0.00375,0.002628287415189234,0.100875,5.04375,0.3388125,0.1513125,0.0,0.1875
20.0,0.9983958333333334,0.0008363432484571038,0.0,0.0,0.0,0.0,0.009625,0.00501805949074257,0.1905,9.525,0.767,0.28575,0.0,0.48125
40.0,0.9970416666666667,0.0010890537230531401,0.0,0.0,0.0,0.0,0.017750000000000002,0.006534322338318843,0.391625,19.58125,1.4749375,0.5874375000000001,0.0,0.8875
