p,cov,covsd,false,falsesd,recloss,reclosssd,irrec,irrecsd,fallback,candidates,ed,ed_effort,ed_error,ed_abstention
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9708125,0.006777417513912994,0.0092885328492765,0.00447047723437889,0.055875,0.01265106090828999,0.0695,0.01377927505540954,0.088375,4.30175,7.5220175,0.1313925,1.365625,6.025
5.0,0.856125,0.015501544442956611,0.04491577427960437,0.011529051415786702,0.255125,0.022717877842884236,0.3175,0.025052576293614365,0.417125,18.703375,37.729158749999996,0.6041587499999997,6.0375,31.0875
10.0,0.7222291666666667,0.020642669199177385,0.07885617801690924,0.010920429189301485,0.47625,0.021832194961618145,0.57025,0.021868326049575126,0.791125,31.926125,75.16976125000001,1.1103862499999997,9.271875,64.7875
20.0,0.5114583333333333,0.01732815585629691,0.10680331245051108,0.010069025286799751,0.734125,0.019622674183333508,0.837125,0.01567085377044713,1.24875,40.50975,139.0507225,1.6538474999999986,9.165625,128.23125
40.0,0.22408333333333333,0.012266533180051728,0.1270864261900522,0.015518432572934173,0.954125,0.00936380911021962,0.99025,0.0063815111228083254,1.432625,27.3375,229.58725,1.705999999999999,4.89375,222.9875
